Marca temporal;Elige el curso;Opinión General Sobre el Curso;¿Aprobó la Cursada?;¿Cómo te Resultaron los Temas de la Materia?;¿Los Temas de la Materia Están Actualizados?;Nivel de las Clases Teóricas del Curso;Nivel de las Clases Prácticas del Curso;Dificultad del Curso;Dificultad del TP;¿Cursaste antes la materia de manera presencial?;¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases teóricas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases prácticas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Trabajos prácticos];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Instancias de consulta];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Tiempos de respuesta ante consultas];¿Qué aspectos valorás positivamente de la cursada remota? (elegí todas las que apliquen);¿Qué aspectos valorás negativamente de la cursada remota? (elegí todas las que apliquen);¿Creés que la cátedra estuvo a la altura de una cursada virtual? En cuanto a herramientas, comunicación, material, etc;¿Creés que debería evaluarse la posibilidad de que el curso sea total o parcialmente virtual cuando sea posible retomar las cursadas presenciales?;¿Estás conforme con la forma en que el curso evaluó sus contenidos? ¿Te sentiste cómodo/a?;¿Tenés algún otro comentario o sugerencia sobre el curso y la cursada virtual de este cuatrimestre?;;;;;;
3/2/2021 16:46:59;75.01-95.01-Computación - 2 - Burin;Muy Bueno;No;Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Mejor;Similar;Similar;Peor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad, Falta de espacio adecuado para estudiar, Incomodidad en mi hogar;si supero ampliamente mis expectativas comparado a las clases virtuales de otras meterias;Si;lo suficiente;no;;;;;;
3/2/2021 16:50:02;75.04-95.12-Algoritmos y Programación II (Electrónica) - Calvo;Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Regulares;Dificil;Normal;No;Mejor;Peor;Peor;Peor;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Problemas de conectividad;La teorica sí, si la docente tenia problemas de conexion luego subia videos en buena calidad para que veamos, explicando todo muy bien. Respecto a la practica, no. Solo los ayudantes resolvian ejercicios, los docentes de la practica nunca terminaban ningun ejercicio, por lo menos teniamos la clase grabada para verla pero igual, no resolvian bien las dudas y respondian las consultas por el campus mucho despues de que se hacian. ;Si;"No. Fue terrible, nos dieron dos trabajos practicos pesados que NADA tenian que ver con lo que se evaluaba en el parcial. Despues el parcial consistia de dos cuestionarios, un ejercicio de codigo y un ej domiciliario. Los cuestionarios eran un desastre, solo 5 preguntas (que no dice nada de si el alumno sabe o no de la materia, son muy pocas), muy ambiguas, diseñadas para que el alumno 'pise el palito' con detalles de sintaxis que hacian que uno mal interprete la consigna. Despues, cuando ibas a revisión, los profesores hacian oidos sordos a lo que planteabamos y nos trataban (perdón la expresión) de tarados e incompetentes. El porcentaje de personas que metimos la materia fue BAJISIMO a causa de estos cuestionarios. El ejercicio para diseñar código estaba bueno, era claro, tenia sentido y se evaluaban cosas dadas en clase. El ejercicio domiciliario tambien, todo ok.
Menciono que hubo gente que se saco 10, 4,10 Y 10 en  estos ejercicios y no le aprobaron la materia . Ademas, en todas las instancias de examen cambiaron los criterios de corrección.";"Calvo es una buena docente, es amable, paciente, explica bien, da un monton de material para los alumnos, responde dudas en clase y realmente te hace sentir comodo.Respecto a la practica, los ayudantes y Lucio explican bien y tienen un buen trato con los alumnos pero no es el caso de Leandro. Ejerce un maltrato continuo con los alumnos, nos trata de ignorantes y burros. Si fuera el caso de un docente 'duro' pero que explica bien ok, no hay problema, pero no se le entiende nada, no se pueden hacer preguntas sin que te denigre, no reconoce sus errores y tiene una actitud pedante. La materia me pareció muy buena, los temas tratados son interesantes y muy utiles pero te terminas yendo con un gusto amargo por lo mencionado. 

Finalmente, mi recomendacion es que la teorica siga igual porque viene muy bien pero que en la practica resuelvan los ejs hasta el final, tomen un cuestionario con más preguntas, definan un criterio de aprobacion *coherente* y fijo desde el comienzo de la cursada y que los TPS tengan algo que ver con lo que se va a evaluar despues. Y en lo posible que alguien le haga saber a Leandro que su forma de dirigirse a los alumnos, las cosas que contesta y demas son faltas de respeto que hacen que uno termine odiando la cursada (que es lo que lamentablemente nos paso a todos, la materia me encantó pero no se la recomendaria a nadie por lo ya mencionado).
Gracias por el espacio.";;;;;;
3/2/2021 16:51:58;75.47-Taller de Desarrollo de Proyectos II - Fontela;Excelente;Sí;Interesantes;Sí;No hay clases teóricas;Muy Buenas;Dificil;Dificil;No;No aplica;Mejor;Mejor;Peor;Similar;Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal;si;Si;si, estuve comoda, buen curso y buen uso de la virtualidad. Al principio costó entender algunas de  las cosas que se esperabana en la materia, pero es un lindo recorrido y linda materia para cerrar la carrera.;Con excepcion de que se puede llegar a haber periddo algo de interacción entre los grupos y compañeros, creo que es u curso que se peude dictar perfectamente online, ya que trae muchos beneficios en esta materia en particular.;;;;;;
3/2/2021 16:56:27;75.04-95.12-Algoritmos y Programación II (Electrónica) - Calvo;Bueno;Sí;Interesantes;Sí;Muy Buenas;Buenas;Normal;Normal;No;Similar;Similar;Similar;Similar;Similar;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Problemas de conectividad;Se proporcionaron las herramientas adecuadas para trabajar, pero en instancias de evaluación hubo ejercicios un poco confusos.;Si;Sí.;;;;;;;
3/2/2021 17:10:58;75.03-95.57-Organización del Computador - 1 - Benitez;Bueno;Sí;Poco Interesantes;No;Regulares;Muy Buenas;Dificil;Dificil;Si;Peor;Mejor;Similar;Mejor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Incomodidad en mi hogar;Si;Si;Para mi gusto faltaron cosas importantes como ver como utilizar mascaras, manejo de memoria ram ;Trataria de hacer las clases teoricas mas entretenidas. Los contenidos estan bien dados y completos. Pero estar 4 horas viendo una diapositiva y esuchando a un profesor hablar, es muy cansador y por lo menos yo a partir de la 3 hora perdia el hilo muy facil;;;;;;
3/2/2021 17:13:47;75.17-75.56-Implantación de Sistemas / Org de la Implantación y el Mantenimiento - Guarna;Excelente;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Normal;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Si, se supieron manejar muy bien;Si;Me gustó mucho cómo manejaron las clases. Usaron bien las herramientas informáticas disponibles;;;;;;;
3/2/2021 17:15:29;75.50-Introducción a los Sistemas Inteligentes - Ochoa;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Muy Buenas;Normal;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal;Me gustó mucho cómo manejaron las clases. Usaron bien las herramientas informáticas disponibles;Si;Me gustó mucho cómo manejaron las clases. Usaron bien las herramientas informáticas disponibles;Tranquilamente puede darse en forma virtual la materia;;;;;;
3/2/2021 17:22:40;75.01-95.01-Computación - 11 - Calvo;Bueno;Sí;Interesantes;Sí;Buenas;Regulares;Normal;Dificil;No;Similar;Similar;Similar;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Problemas de conectividad, Falta de espacio adecuado para estudiar, Incomodidad en mi hogar;Estuvo bien, hay ciertas cosas a mejorar como el tiempo de respuesta a consultas en foros, o las clases en sí, ya que varias se basaban en leer los ppt subidos al campus, con apenas algunas aclaraciones. Clases más prácticas en las que la docente resolviera problemas desde 0 (no quizás que muestre un programa ya armado para el problema planteado) hubieran sido muy constructivas. Por otro lado, si bien son entendibles las limitaciones, quizás podrían plantearse problemas que llamen más la atención de los estudiantes.;Si;Sí, aunque tanto el parcial como el TP2 me resultaron muy complejos con respecto a lo que venía viendo en las prácticas. Principalmente este último, y tuve que recurrir bastante a buscar en internet formas alternativas de resolución, ya que con las que había aprendido en la materia no se me ocurría cómo hacer.;;;;;;;
3/2/2021 17:23:14;75.33-75.43-95.60-Introducción a los Sistemas Distribuidos  - Carísimo;Bueno;Sí;Muy Interesantes;Sí;Excelentes;Malas;Muy Dificil;Muy dificil;No;Peor;Peor;Peor;Peor;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal;Utilizaron correctamente las herramientas informáticas disponibles;Si;Me sentí horrible. El docente de la práctica(Jefe de trabajos prácticos) lo único que hizo fue intentar perjudicar al alumno con la justificación de que los alumnos pudieran copiar. En la última instancia de recuperación cambio todos los criterios de evaluación: nos dió 1 hora menos de examen y la exigencia en cuánto a ejercicios era mayor que en las instancias anteriores;Si bien la parte teórica fue exelente, la parte práctica fue la peor experiencia que tuve en la cursada virtual.;;;;;;
3/2/2021 17:24:24;75.01-95.01-Computación - 2 - Burin;Muy Bueno;Sí;Muy Interesantes;Sí;Buenas;Excelentes;Dificil;Normal;No;Peor;Mejor;Mejor;Mejor;Mejor;Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;"En cuanto a contenidos esta bien. 
El profe de teoría mostraba una actitud con poca empática, cuando se le preguntaba algo que no quedo claro, no se mostraba muy predispuesto, igualmente lo explicaba. La escritura, por pantalla del probe era deplorable, desprolija, quizás no le funcionaba bien el mouse, eso mismo no ayudaba, pero bueno. Ojalá este cuatrimestre lo solucione para los otros alumnos";Si;Si, los profes de práctica son unos genios. Lo entendí todo gracias a ellos. ;"La cursada virtual es estupenda. OJALA CONTINUEN LAS CLASES ON LINE!!!!
Con el dinero que ahorre en viaje pude costearme el consumo de Internet cómodamente. Vivo a 60 km de la facultad, saquen sus conlcusiones";;;;;;
3/2/2021 17:28:37;75.41-95.15-Algoritmos y Programación II - 1 - Calvo;Bueno;No;Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Normal;No;No aplica;No aplica;Mejor;No aplica;No aplica;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares;Si pero no soy parametro ya que curse bastante poco por temas agenos a la materia.;Si;no rendi ningun examen porque no llegue a estudiar y no me sentia seguro. Al final el tiempo no me fue suficiente y decidi dejar la materia para poder hacerla de manera correcta dado que me interesa aprender bien los temas.;me gusto mucho el trabajo practico de blockchains. El enunciado me resulto un poco complicado (lo que es logico dada la dificultad del tema y tratando de simplificarlo imagino que puede llegar a volverse mas complicado de interpretar) pero a pesar de esto me gusto mucho el hecho de que ademas de abarcar la mayoria de los temas de la materia se centrara en una tematica real y aplicable en la vida cotidiana.;;;;;;
3/2/2021 17:33:16;75.01-95.01-Computación - 11 - Calvo;Muy Bueno;Sí;Interesantes;Sí;Muy Buenas;Buenas;Normal;Normal;No;Mejor;Similar;Mejor;Similar;Similar;Posibilidad de ver las clases posteriormente;Menor interacción con el docente, Menor interacción con mis pares;Si ;Si;Si ;;;;;;;
3/2/2021 17:49:13;75.01-95.01-Computación - 11 - Calvo;Bueno;Sí;Interesantes;Sí;Buenas;Regulares;Dificil;Muy dificil;No;;;;;;Ahorro en tiempo de viaje;Menor interacción con el docente;;Si;;;;;;;;
3/2/2021 18:08:48;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Muy Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Excelentes;Dificil;Dificil;No;Similar;Mejor;Mejor;Mejor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo;Menor interacción con mis pares, Pérdida de comunicación no verbal, Falta de espacio adecuado para estudiar;SI;No;si;;;;;;;
3/2/2021 18:12:46;75.01-95.01-Computación - 2 - Burin;Malo;Sí;Nada Interesantes;No;Malas;Malas;Normal;Normal;No;Peor;Peor;Peor;Peor;Similar;Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad, Falta de espacio adecuado para estudiar;"Me parece que había muy poco material, las clases eran grabadas pero no las subían a ningún lado. No hubo videos teóricos y solo las clases del cuatrimestre pasado que son incómodas de escuchar porque tenés la gente que se deja micrófonos prendidos o esas cosas. Después cuando vimos videos teóricos en clase era la grabación de la pantalla de un vídeo dado en una clase. De más está decir que la calidad fue pésima y no se pudo entender mucho
";Si;Me parece pésimo que la última clase del cuatrimestre nos informan que una de las 5 fechas de final en realidad va a ser utilizada para evaluar la cursada y que no agreguen una fecha (cuando dan perfectamente las semanas). Me parece inútil absolutamente todo lo que enseñaron en la catedra salvó las últimas dos (como mucho 3) clases. Es la única catedra que no pone como prioridad python cuando es una herramienta que nos puede ayudar mucho a futuro. Una pena que haya perdido tanto tiempo a sumar y restar en binario y otras cosas que jamás van a tener una utilidad. Me gustaría que revisaran más con sus colegas para tener un plan de estudio más interesante y actualizado.;;;;;;;
3/2/2021 18:16:47;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Similar;Similar;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal;Obviamente. Son gente muy capaz a la altura de las circunstancias.;No;Si. Totalmente. Los docentes no te matan con las correcciones y son justos.;Comentario personal. Este cuatri cometi el error de inscribirme en 4 materias y en una no tenia comentarios al respecto de como era la catedra y resulto que no tenia ni clases virtuales. Lo cual hizo que me atrase en todas las materias y me dio un poco de lastima no dedicarle tanto tiempo a Algo II que me parecio una materia muy buena con mucho feedback de los docentes. Tambien le ponian mucha gana a las clases y el contenido tematico del cuatri tambien lo motiva a uno y no se le hace tan pesado cursar.;;;;;;
3/2/2021 18:17:20;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Muy Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Normal;Si;Similar;Similar;Similar;Mejor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Si, igualó a lo presencial;Si;Si y si;La cursada virtual para materias de informática me parece una opción ideal ya que al trabajar desde tu casa con tu propia computadora hace todo mucho más fácil y dinámico, deberían reemplantear una cursada parcialmente virtual, más que nada para los que viajamos más de dos horas ;;;;;;
3/2/2021 18:18:18;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Interesantes;Sí;Muy Buenas;Excelentes;Dificil;Dificil;No;Peor;Mejor;Similar;Similar;Mejor;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje;Menor interacción con el docente, Menor interacción con mis pares;Si, fue la única materia que lo estuvo;Si;Si;;;;;;;
3/2/2021 18:27:06;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Dificil;No;Mejor;Mejor;Similar;Similar;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal;Totalmente;Si;Si, muy cómodo;Mejorar los tiempos de respuesta a consultas, no hay problema que pasen unos días, pero si ya se habla de más de una semana, no sirve de mucho;;;;;;
3/2/2021 18:28:09;75.26-95.19-Simulación - Caiafa;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;;;;;;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con mis pares, Pérdida de comunicación no verbal, Falta de espacio adecuado para estudiar;Si, se brinda antes de tiempo el material para la clase teórica para poder aprovecharla más ;;Me pareció muy adecuada la forma en que se evaluó el contenido en funcion del contenido que se brindó;Me gusto mucho la predisposición de los docentes tanto de la teorica como de la practica;;;;;;
3/2/2021 18:29:50;75.01-95.01-Computación - 2 - Burin;Bueno;Sí;Muy Interesantes;No;Buenas;Buenas;Normal;Dificil;No;Similar;Similar;Similar;Peor;Peor;Ahorro en tiempo de viaje, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Problemas de conectividad;;Si;;;;;;;;
3/2/2021 18:37:06;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Muy Bueno;Sí;Interesantes;Sí;Buenas;Buenas;Normal;Normal;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;Si;Si;si;Sigan así;;;;;;
3/2/2021 18:37:18;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Muy Bueno;No;Muy Interesantes;Sí;Muy Buenas;Excelentes;Normal;Normal;No;Mejor;Mejor;Similar;Peor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Comodidad de mi hogar;Falta de espacio adecuado para estudiar;Yo creo que sí. Me pareció mucho más cómodo poder hacer los ejercicios de algoritmos a la par del profesor;Si;Me pareció muy bien. ;;;;;;;
3/2/2021 18:40:35;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;No;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Similar;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;Si;Si;Si;No;;;;;;
3/2/2021 18:42:44;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;;Similar;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Falta de espacio adecuado para estudiar;SI, bastante;Si;SI;Nada, está perfecto así;;;;;;
3/2/2021 18:45:13;75.01-95.01-Computación - 2 - Burin;Regular;Sí;Poco Interesantes;No;Malas;Regulares;Normal;Dificil;No;Similar;Peor;Peor;Similar;Mejor;Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Estuvo a la altura pero no me pareció como se manejaron en cuanto al regimen de cursada;Si;Me pareció pésimo que el tp para regularizar la materia sea sobre los temas que dieron las ultimas 3 clases. Siento que todo el trabajo realizado durante el cuatri no conto porque total lo ultimo pareciera ser lo mas relevante.;;;;;;;
3/2/2021 19:13:56;75.26-95.19-Simulación - Caiafa;Muy Bueno;Sí;Muy Interesantes;Sí;Excelentes;Muy Buenas;Dificil;Normal;No;Mejor;Similar;Similar;Similar;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Si, estuvo a la altura;Si;Si;;;;;;;
3/2/2021 19:30:29;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;;;;;;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje;Menor interacción con el docente, Menor interacción con mis pares, Falta de espacio adecuado para estudiar;Totalmente, de las materias que cursé, esta cátedra realmente aprendí y me divertí ;Si;Realmente con su plataforma, hizo que los parciales sean desafiantes porque necesitas entender muy bien el tema;Realmente es una muy buena cátedra, e hizo que me divirtiera mientras aprendo;;;;;;
3/2/2021 19:49:29;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Dificil;Normal;No;Similar;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Mejor interacción en grupo, Ahorro en tiempo de viaje;Falta de espacio adecuado para estudiar;Si;Si;Si, no hay nada que me haya molestado;;;;;;;
3/2/2021 19:54:20;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Interesantes;Sí;Muy Buenas;Excelentes;Dificil;Dificil;No;Similar;Similar;Similar;Similar;Similar;Posibilidad de ver las clases posteriormente, Mejor interacción en grupo, Ahorro en tiempo de viaje;Menor interacción con mis pares, Pérdida de comunicación no verbal, Falta de espacio adecuado para estudiar;Si, hicieron todo lo que estaba a su alcance.;Si;Si, tuvieron una de las mejores plataformas de parciales y finales de toda la FIUBA.;;;;;;;
3/2/2021 19:59:04;75.03-95.57-Organización del Computador - 1 - Benitez;Bueno;No;Interesantes;Sí;Buenas;Buenas;Dificil;Muy dificil;No;Similar;Similar;Peor;Peor;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje;Problemas de conectividad, Falta de espacio adecuado para estudiar;si;Si;me parece que el nivel del módulo assembler es mucho mayor a lo que se explica en clase. Teniendo en cuenta que no hay tanto material de práctica y explicación sobre este lenguaje. El trabajo práctico y último módulo de assembler no va acorde al nivel con el que explicaron las clases prácticas y teóricas. Esto afecta mucho más a los que vienen de programar en Python y no en C.;;;;;;;
3/2/2021 20:02:30;75.61-Taller de Programación III - Alvarez Hamelin;Excelente;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Normal;Si;Mejor;Similar;Similar;Mejor;Mejor;Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;"Sí; lo que no se pueda hacer en conjunto en el laboratorio, se puede hacer en la máquina de cada uno. La comunicación fue siempre muy buena, y el material provisto fue adecuardo. Muy buenas las recomendaciones de software auxiliar (como Overleaf) y sitios de referencia (RIPE Atlas, CAIDA, etc)";Si;Sí, siempre estuvieron claros los términos en que se nos evaluaría y los contenidos que debíamos presentar. Toda duda fue resuelta eficazmente;"Me hubiera gustado utilizar los conceptos de Administración de Proyectos para la planificación; pero como no es correlativa, no tiene mucho sentido. Sin embargo, nunca está de más aprender otra forma nueva de realizar la planificación, y funcionó bien para nuestro caso particular.";;;;;;
3/2/2021 20:10:08;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Similar;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo;Menor interacción con mis pares, Pérdida de comunicación no verbal, Incomodidad en mi hogar;Si;No;Si;No;;;;;;
3/2/2021 20:21:48;75.47-Taller de Desarrollo de Proyectos II - Fontela;Muy Bueno;Sí;Muy Interesantes;Sí;No hay clases teóricas;Muy Buenas;Normal;Normal;No;Mejor;Mejor;Mejor;Mejor;Mejor;Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Pérdida de comunicación no verbal;Totalmente, muy organizados;Si;Totalmente;;;;;;;
